replica,service_times
0,0
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
0,180
1,0
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
1,180
